timestamp,temperature_C,humidity_percent
2026-07-30 08:46:32,25,51
2026-07-30 08:46:34,25,50
2026-07-30 08:46:36,25,50
2026-07-30 08:46:38,25,50
2026-07-30 08:46:40,25,51
2026-07-30 08:46:42,25,51
2026-07-30 08:46:44,25,51
2026-07-30 08:46:46,25,51
2026-07-30 08:46:48,25,50
2026-07-30 08:46:50,25,50
2026-07-30 08:46:52,25,50
2026-07-30 08:46:54,25,50
2026-07-30 08:46:56,25,50
2026-07-30 08:46:58,25,50
2026-07-30 08:47:00,25,50
2026-07-30 08:47:02,25,50
2026-07-30 08:47:04,25,50
2026-07-30 08:47:06,25,50
2026-07-30 08:47:08,25,51
2026-07-30 08:47:10,25,51
2026-07-30 08:47:12,25,51
2026-07-30 08:47:14,25,51
2026-07-30 08:47:16,25,51
2026-07-30 08:47:18,25,52
2026-07-30 08:47:20,25,52
2026-07-30 08:47:22,25,52
2026-07-30 08:47:24,25,52
2026-07-30 08:47:26,25,52
2026-07-30 08:47:28,25,52
2026-07-30 08:47:30,25,52
2026-07-30 08:47:32,25,53
2026-07-30 08:47:34,25,52
2026-07-30 08:47:36,25,53
2026-07-30 08:47:38,25,53
2026-07-30 08:47:40,25,52
2026-07-30 08:47:42,25,52
2026-07-30 08:47:44,25,52
2026-07-30 08:47:46,25,52
2026-07-30 08:47:48,25,52
2026-07-30 08:47:50,25,52
2026-07-30 08:47:52,25,51
2026-07-30 08:47:54,25,51
2026-07-30 08:47:57,25,51
2026-07-30 08:47:59,24,51
2026-07-30 08:48:01,25,51
2026-07-30 08:48:03,25,51
2026-07-30 08:48:05,25,51
2026-07-30 08:48:07,25,51
2026-07-30 08:48:09,24,51
2026-07-30 08:48:11,24,51
2026-07-30 08:48:13,24,51
2026-07-30 08:48:15,24,51
2026-07-30 08:48:17,25,53
2026-07-30 08:48:19,25,55
2026-07-30 08:48:21,25,57
2026-07-30 08:48:23,25,59
2026-07-30 08:48:25,25,60
2026-07-30 08:48:27,26,59
2026-07-30 08:48:29,26,58
2026-07-30 08:48:31,26,60
2026-07-30 08:48:33,26,60
2026-07-30 08:48:35,26,59
2026-07-30 08:48:37,27,60
2026-07-30 08:48:39,27,59
2026-07-30 08:48:41,27,58
2026-07-30 08:48:43,27,57
2026-07-30 08:48:45,27,56
2026-07-30 08:48:47,27,54
2026-07-30 08:48:49,27,53
2026-07-30 08:48:51,27,53
2026-07-30 08:48:53,27,52
2026-07-30 08:48:55,27,51
2026-07-30 08:48:57,27,51
2026-07-30 08:48:59,27,50
2026-07-30 08:49:01,27,50
2026-07-30 08:49:03,27,49
2026-07-30 08:49:05,27,49
2026-07-30 08:49:07,27,48
2026-07-30 08:49:09,27,48
2026-07-30 08:49:11,27,48
2026-07-30 08:49:13,27,48
2026-07-30 08:49:15,27,48
2026-07-30 08:49:17,27,47
2026-07-30 08:49:19,27,47
2026-07-30 08:49:21,27,47
2026-07-30 08:49:24,27,47
2026-07-30 08:49:26,27,47
2026-07-30 08:49:28,27,47
2026-07-30 08:49:30,27,47
2026-07-30 08:49:32,27,48
2026-07-30 08:49:34,27,48
2026-07-30 08:49:36,27,48
2026-07-30 08:49:38,27,48
2026-07-30 08:49:40,27,48
2026-07-30 08:49:42,27,48
2026-07-30 08:49:44,27,48
2026-07-30 08:49:46,27,48
2026-07-30 08:49:48,27,48
2026-07-30 08:49:50,27,48
2026-07-30 08:49:52,27,48
2026-07-30 08:49:54,27,48
2026-07-30 08:49:56,27,48
2026-07-30 08:49:58,27,48
2026-07-30 08:50:00,27,48
2026-07-30 08:50:02,27,48
2026-07-30 08:50:04,27,48
2026-07-30 08:50:06,27,48
2026-07-30 08:50:08,27,48
2026-07-30 08:50:10,27,48
2026-07-30 08:50:12,26,48
2026-07-30 08:50:14,26,48
2026-07-30 08:50:16,26,48
2026-07-30 08:50:18,26,48
2026-07-30 08:50:20,26,48
2026-07-30 08:50:22,26,48
2026-07-30 08:50:24,26,48
2026-07-30 08:50:26,26,48
2026-07-30 08:50:28,26,48
2026-07-30 08:50:30,26,48
2026-07-30 08:50:32,26,48
2026-07-30 08:50:34,26,48
2026-07-30 08:50:36,26,48
2026-07-30 08:50:38,26,48
2026-07-30 08:50:40,26,48
2026-07-30 08:50:42,26,48
2026-07-30 08:50:44,26,48
2026-07-30 08:50:46,26,48
2026-07-30 08:50:48,26,48
